start,end,score,strand
302627,302643,52,-
302661,302695,59,-
303240,303267,71,-
304251,304285,62,-
304549,304580,112,-
305134,305164,51,-
306427,306450,70,-
306595,306615,51,+
307029,307061,49,-
307128,307159,77,-
310288,310329,54,+
311286,311314,52,+
311390,311419,98,+
311646,311665,49,-
311708,311740,63,-
311772,311805,47,-
312663,312690,53,-
313749,313770,49,-
313773,313817,67,+
313840,313857,50,-
317275,317310,78,-
318601,318631,57,-
319630,319671,54,-
327821,327838,50,-
328206,328245,50,-
328598,328615,52,-
329453,329482,52,+
331801,331830,98,+
332054,332082,69,-
332273,332292,49,-
332381,332400,47,+
332409,332430,51,+
333508,333556,49,-
335704,335720,52,-
335732,335762,70,-
337278,337298,49,+
338089,338120,62,-
338282,338301,49,-
338348,338373,47,-
339001,339030,66,-
339354,339374,51,+
340145,340176,50,+
340834,340853,56,-
341187,341224,55,-
342399,342425,56,+
343324,343352,54,+
343829,343854,57,-
346973,346989,52,-
349124,349145,48,-
349197,349228,50,+
349751,349780,52,-
352220,352262,50,+
354564,354606,48,-
354961,354981,47,+
358021,358050,98,-
358714,358739,57,+
361496,361523,55,-
365428,365451,48,-
366287,366310,60,-
370102,370122,51,-
371726,371756,49,-
382417,382437,48,-
383489,383516,55,-
386498,386524,57,+
387631,387661,51,+
394284,394302,51,+
402903,402932,63,+
403086,403115,66,+
406109,406129,47,+
407448,407481,48,+
411628,411660,79,-
412207,412228,49,-
413821,413854,65,-
417043,417065,49,+
418109,418145,58,-
418217,418241,48,+
418369,418393,48,-
418442,418463,48,-
420661,420690,98,+
421473,421511,57,+
422648,422692,67,+
422709,422730,63,-
422778,422796,67,-
425205,425237,49,+
425951,425990,61,-
427951,427970,47,-
428288,428318,79,+
428357,428399,50,+
428468,428489,48,-
430751,430785,58,+
431867,431887,49,+
432383,432406,60,+
432545,432570,47,-
432674,432707,58,+
434200,434220,47,+
434264,434284,51,-
434298,434316,67,-
434604,434626,51,+
435150,435174,48,-
435421,435452,60,-
436101,436132,50,-
438426,438446,48,+
438501,438518,69,-
439119,439135,70,+
439240,439257,50,+
443060,443083,49,-
443836,443858,61,-
444647,444685,59,-
446974,447004,64,-
451222,451249,66,-
454917,454953,59,+
456215,456238,60,-
459284,459303,49,+
459767,459789,51,-
465226,465250,48,-
465719,465743,58,+
466456,466481,69,-
466858,466882,91,-
466984,467011,66,-
468104,468128,70,+
468176,468195,112,-
468223,468249,56,-
468590,468612,61,-
471253,471286,62,+
471460,471480,110,+
471525,471545,110,-
471646,471676,109,-
472192,472217,47,+
472350,472383,62,-
472616,472640,48,-
473013,473044,63,+
473094,473138,67,-
477289,477314,47,-
478448,478474,60,+
481281,481316,47,-
481467,481483,52,+
482940,482972,52,-
483166,483200,68,+
484087,484113,85,-
484255,484290,65,-
484862,484899,55,+
485160,485177,50,-
485841,485877,62,-
487022,487063,69,-
488051,488076,63,+
488971,489006,61,-
490185,490219,65,-
491414,491437,48,+
492082,492110,70,-
492654,492677,60,-
497177,497203,56,+
500372,500406,55,-
504025,504057,48,-
508062,508091,52,+
508424,508456,47,-
512006,512042,55,+
512358,512390,49,-
512516,512545,54,+
512578,512595,50,-
512657,512686,63,-
513284,513301,50,+
513431,513447,52,-
513604,513636,49,-
513658,513692,62,-
514161,514191,66,-
514810,514842,50,+
515813,515834,48,-
516001,516030,63,-
519922,519951,57,-
520775,520799,48,-
522858,522883,67,-
522913,522941,86,-
522997,523024,63,-
523374,523401,55,-
525836,525858,61,-
526697,526716,51,+
527362,527383,48,-
527964,527990,56,-
528799,528823,48,-
529130,529150,73,+
531651,531674,61,-
531893,531913,48,-
532369,532415,49,-
534599,534624,67,-
534772,534808,59,-
535813,535838,47,-
537089,537118,98,+
537135,537166,70,-
537491,537514,49,+
538593,538642,61,-
538737,538768,50,-
539724,539745,63,+
540856,540887,50,+
540927,540959,56,+
541265,541284,66,+
541301,541324,64,+
542030,542048,50,-
542077,542101,71,+
543636,543656,47,-
543722,543742,64,-
544053,544078,88,-
545637,545663,69,-
547644,547662,51,-
547970,548006,47,-
548990,549020,52,-
550762,550781,47,+
550909,550935,56,+
554660,554696,48,+
555662,555680,49,+
556745,556789,53,-
557605,557621,52,-
558797,558825,54,+
559269,559292,60,-
559991,560011,49,+
560134,560155,49,-
560170,560194,48,+
560502,560520,50,+
562092,562126,60,-
564979,565001,61,+
566787,566809,61,+
566933,566962,63,+
568556,568597,86,-
568600,568621,48,+
568786,568814,71,-
569613,569646,48,+
570352,570378,56,-
570734,570762,52,-
571092,571125,62,+
571180,571222,53,-
573074,573098,59,-
574629,574660,65,+
577016,577045,98,+
577307,577345,58,+
578903,578932,52,+
579632,579655,60,+
580171,580200,98,-
581635,581668,61,-
582236,582262,56,-
582512,582543,112,-
584531,584551,47,-
585199,585224,67,-
587265,587291,56,+
587502,587530,54,+
587808,587831,63,+
589130,589151,92,-
590838,590868,52,-
591065,591100,54,-
596700,596720,47,-
597042,597062,64,-
597310,597353,49,-
597574,597614,54,-
597672,597689,50,-
598185,598205,64,+
598645,598681,55,-
599454,599481,85,-
601344,601364,49,-
601735,601778,50,-
602119,602160,95,-
602335,602366,62,-
602792,602818,56,-
603021,603046,57,-
603251,603283,92,+
603731,603761,60,-
604671,604689,49,+
604889,604921,58,+
605659,605679,51,-
606278,606314,76,+
608088,608107,49,+
611490,611514,59,+
611553,611580,66,+
612659,612682,50,-
613364,613394,51,+
614328,614355,72,-
614982,615007,67,-
617930,617974,52,+
617983,618003,51,-
618216,618244,54,-
620181,620217,58,-
620858,620878,64,-
620982,621017,61,-
622774,622803,98,+
623984,624007,60,-
624299,624323,48,+
624377,624395,50,+
624427,624456,98,-
626131,626158,55,-
627028,627053,57,-
627257,627295,55,-
629593,629626,91,-
629759,629778,51,-
630809,630834,47,+
632684,632704,64,-
632814,632845,63,-
634134,634166,65,-
634249,634292,49,+
635873,635893,49,+
636082,636115,48,-
636957,636978,63,+
637785,637803,49,-
637839,637862,60,-
638292,638315,69,-
638564,638587,49,-
638975,638998,60,+
639465,639505,53,-
641103,641131,53,-
641181,641212,48,+
642185,642205,73,-
644090,644107,50,-
644302,644334,62,-
644416,644454,74,-
646583,646600,52,+
650383,650412,52,-
651081,651115,58,+
651225,651245,47,-
651531,651565,50,-
652664,652686,61,-
652992,653009,50,+
653151,653182,59,-
653293,653320,55,-
657324,657347,60,-
661988,662029,49,-
662829,662859,65,-
665748,665781,48,-
666385,666407,61,-
667602,667633,112,-
668980,669003,60,-
670838,670867,98,+
672174,672216,54,+
672455,672476,63,-
673322,673351,98,+
674221,674242,49,+
676333,676360,55,+
677174,677199,57,-
678471,678499,54,+
679399,679429,57,+
680162,680188,73,-
680341,680379,58,-
682173,682204,68,-
682341,682365,48,-
686937,686957,64,-
687746,687779,48,+
689094,689111,52,-
689857,689889,80,-
689986,690027,70,-
690696,690726,54,-
690901,690919,67,-
691581,691622,54,-
692243,692274,140,+
692285,692307,125,+
693439,693475,54,-
694484,694509,57,-
694698,694730,62,-
695931,695957,56,-
696163,696193,51,-
696206,696239,51,+
698254,698288,74,-
698546,698578,59,-
698780,698823,48,-
702794,702830,74,-
703151,703181,51,-
704191,704227,55,+
704421,704441,47,+
705567,705588,48,-
708174,708205,112,+
712340,712358,49,-
712704,712728,48,-
713396,713425,98,-
713550,713583,59,-
716820,716844,59,-
719209,719227,49,+
720223,720245,51,-
721246,721266,49,-
722733,722751,50,-
722964,723001,75,+
723100,723129,98,+
723382,723404,48,-
726815,726842,83,-
727014,727043,97,-
727121,727140,47,-
728801,728824,60,-
731406,731430,48,-
732902,732927,66,-
733497,733521,58,+
736288,736309,52,+
740155,740188,52,+
740264,740280,52,+
743068,743100,63,+
743118,743145,55,+
743795,743824,63,+
744217,744234,52,+
745422,745463,94,-
745523,745548,57,+
752538,752572,60,-
755113,755142,98,+
755233,755267,58,-
755490,755514,48,+
757164,757204,55,+
757212,757250,58,-
757660,757680,48,-
758777,758820,52,-
759656,759680,59,+
759925,759957,50,-
760801,760841,59,-
761593,761613,47,+
763546,763566,47,-
765695,765718,49,-
765848,765874,56,-
766715,766745,51,+
766933,766953,47,-
769547,769566,51,+
770134,770161,55,+
770210,770233,60,-
772827,772856,52,+
775208,775241,63,+
775434,775459,57,-
776564,776591,64,+
778437,778455,49,-
778939,778972,92,+
779114,779140,56,+
780092,780107,72,+
780156,780179,70,-
781015,781033,49,+
782750,782773,61,-
783252,783291,59,-
786323,786350,72,-
787283,787312,60,-
787516,787541,57,+
788683,788719,75,+
788840,788880,55,-
790331,790350,47,-
791055,791089,65,-
791137,791164,55,-
791230,791262,49,-
791836,791876,53,-
793224,793265,54,-
793740,793760,49,-
793897,793921,48,+
795379,795400,72,+
795679,795708,98,-
796158,796187,52,-
796758,796783,47,+
797040,797065,57,+
803001,803024,49,-
803377,803415,74,-
805121,805158,55,-
805783,805800,50,-
808400,808423,60,-
808837,808863,56,-
808887,808905,50,-
813025,813054,69,-
813096,813123,55,-
813333,813359,56,-
814036,814061,67,-
815575,815614,53,-
816769,816790,48,-
816848,816878,82,-
817639,817671,65,-
820236,820260,48,-
820724,820757,51,+
820787,820818,112,+
820896,820933,47,+
821731,821754,48,-
822303,822319,52,+
822510,822534,48,-
822935,822968,68,-
824951,824982,48,-
825426,825466,55,+
826067,826093,56,+
826501,826530,87,+
826639,826680,51,-
829554,829577,48,+
833319,833341,48,-
833394,833436,53,+
833984,834021,62,-
834153,834182,52,-
838704,838725,48,+
839155,839174,47,-
839426,839460,60,-
840414,840443,54,-
840998,841021,72,+
847859,847886,55,+
848022,848047,66,-
848462,848500,71,-
849148,849184,53,-
851353,851386,59,+
852289,852320,63,+
852379,852424,52,-
853865,853883,50,-
860400,860427,88,-
861429,861458,98,+
862352,862388,59,+
863532,863553,63,-
863622,863645,60,+
863762,863791,98,-
864252,864281,60,+
866234,866258,59,-
866847,866874,68,+
868380,868411,112,+
870402,870428,91,-
870470,870487,52,+
871586,871615,68,-
871786,871809,48,+
874212,874244,67,-
876270,876290,64,+
876676,876713,88,-
877892,877916,48,-
878561,878601,54,+
882480,882514,62,-
882561,882583,61,-
883141,883170,98,+
883197,883228,51,-
884020,884047,71,-
884226,884246,64,-
885962,885989,55,+
886050,886075,47,-
886297,886317,49,-
886636,886665,98,-
887881,887901,47,-
888342,888360,49,+
888540,888556,52,-
889710,889737,64,-
889820,889857,62,-
890108,890137,98,+
891502,891535,60,+
891747,891789,53,-
894288,894315,60,+
895630,895661,83,-
896806,896839,70,+
900534,900568,62,+
903359,903378,47,-
903787,903819,78,+
904609,904638,65,+
904805,904837,68,-
904919,904935,52,+
908797,908831,95,-
909757,909791,61,-
910111,910147,58,+
910179,910198,112,-
911526,911550,48,-
913126,913152,56,-
915549,915578,98,+
915614,915643,52,-
916008,916041,62,+
920187,920205,67,-
921187,921213,56,-
922289,922321,49,+
922932,922958,56,-
923060,923096,62,+
923584,923615,50,-
923695,923720,47,-
924572,924592,64,-
927917,927961,54,+
929848,929877,86,+
930559,930575,70,-
934851,934881,49,-
935456,935494,54,-
935737,935768,50,+
935833,935864,50,+
936181,936212,50,+
936277,936308,50,+
936469,936500,50,+
936589,936620,50,+
944271,944294,60,-
945300,945319,49,-
951966,952002,58,+
959193,959223,51,-
960069,960087,67,-
961729,961767,56,-
962281,962317,59,+
965604,965634,51,-
965977,965995,49,+
967469,967502,48,-
969472,969492,48,+
971042,971084,55,+
971228,971268,54,-
974003,974026,60,-
974131,974151,64,+
974257,974279,48,+
976304,976323,49,-
976518,976553,50,-
979627,979662,60,+
981025,981042,52,-
982985,983006,51,-
984552,984584,92,+
995735,995769,60,-
998351,998370,47,-
998944,998966,48,-
1005870,1005892,48,+
1009495,1009514,47,+
1011243,1011265,48,+
1012030,1012051,48,-
1012180,1012204,59,-
1012259,1012277,51,-
1012307,1012331,59,+
1012433,1012454,62,-
1017064,1017083,47,+
1018711,1018745,50,-
1018819,1018846,55,+
1018976,1019009,59,-
1019143,1019179,55,-
1019703,1019727,48,-
1020492,1020513,63,+
1022944,1022963,49,+
1023095,1023133,55,+
1023740,1023761,49,+
1025338,1025364,88,-
1027910,1027926,53,-
1029132,1029165,55,-
1029370,1029389,49,-
1031508,1031528,64,-
1032824,1032849,57,+
1032913,1032943,51,-
1035523,1035558,59,+
1036755,1036794,57,+
1037322,1037350,54,+
1037435,1037459,60,-
1037811,1037835,59,-
1037866,1037884,51,+
1040756,1040789,48,-
1041431,1041458,55,-
1041591,1041610,66,-
1043475,1043505,51,+
1044163,1044183,48,-
1045079,1045094,72,-
1045618,1045638,47,+
1047881,1047914,48,-
1049482,1049505,60,-
1054956,1054983,69,-
1055071,1055105,60,-
1055159,1055193,62,-
1056078,1056109,60,-
1056861,1056884,60,-
1056885,1056912,55,+
1057025,1057045,49,-
1059671,1059707,59,-
1060273,1060318,48,-
1063101,1063117,52,-
1063260,1063286,56,+
1065212,1065246,64,-
1067677,1067694,50,-
1068617,1068646,57,-
1068851,1068883,70,+
1070631,1070655,59,-
1071024,1071066,49,-
1071123,1071145,61,-
1074962,1075004,55,+
1076951,1076975,48,-
1077605,1077634,52,-
1078264,1078302,58,+
1080064,1080097,48,+
1080544,1080579,58,+
1082614,1082637,71,-
1084033,1084063,57,-
1084741,1084777,58,-
1091540,1091563,50,-
1096776,1096797,48,-
1103287,1103313,57,-
1103335,1103363,63,-
1104263,1104292,54,+
1106069,1106092,60,+
1107010,1107030,47,-
1110262,1110298,56,-
1111360,1111391,50,-
1113101,1113131,51,-
1113811,1113850,73,+
1113887,1113907,110,-
1114501,1114524,60,-
1114837,1114854,50,+
1114915,1114943,54,-
1115714,1115735,48,-
1115921,1115943,48,+
1117888,1117905,69,+
1120587,1120606,49,-
1120751,1120776,67,-
1123510,1123534,69,-
1125517,1125543,57,-
1125610,1125651,58,+
1125678,1125707,98,+
1128370,1128407,73,-
1128565,1128599,62,-
1128731,1128766,76,-
1129008,1129034,56,-
1133169,1133198,68,-
1133317,1133334,69,-
1133400,1133432,59,+
1133526,1133552,56,-
1134711,1134743,49,-
1135261,1135280,47,-
1135311,1135333,48,-
1135788,1135820,59,-
1136851,1136878,55,-
1138446,1138467,48,-
1140199,1140225,56,+
1140543,1140566,59,+
1140814,1140833,47,+
1144278,1144313,75,-
1144401,1144424,60,+
1145207,1145233,56,+
1145858,1145898,49,-
1146014,1146053,51,-
1146082,1146110,53,-
1147311,1147341,51,+
1147887,1147919,49,-
1149631,1149660,54,+
1149729,1149765,76,-
1150119,1150139,51,-
1150181,1150214,74,+
1150394,1150423,98,+
1150543,1150589,52,+
1151061,1151081,64,-
1151188,1151207,66,+
1151258,1151282,48,-
1151435,1151463,81,-
1151516,1151544,71,-
1153045,1153069,48,+
1153391,1153421,51,+
1153594,1153637,53,+
1153767,1153787,51,+
1155421,1155457,56,-
1156875,1156904,61,-
1161281,1161305,48,-
1161969,1161999,68,+
1162725,1162744,66,+
1162910,1162943,60,-
1163037,1163070,58,-
1164591,1164625,79,+
1165541,1165563,61,-
1165776,1165813,55,-
1165927,1165945,49,-
1166758,1166799,54,-
1167164,1167197,61,-
1167207,1167230,50,-
1168266,1168285,47,+
1170700,1170726,56,-
1170878,1170917,50,-
1172893,1172919,56,-
1173722,1173747,47,+
1176026,1176047,48,-
1176265,1176292,65,-
1176754,1176787,62,-
1177508,1177556,49,-
1178526,1178559,80,-
1179722,1179764,53,-
1180714,1180747,65,-
1181837,1181866,97,+
1186258,1186296,57,+
1187395,1187425,51,+
1189863,1189882,49,+
1192669,1192691,51,+
1193941,1193964,60,+
1193979,1194000,63,+
1194301,1194343,53,+
1195132,1195160,54,-
1195939,1195966,63,-
1197789,1197815,86,-
1199370,1199396,56,+
1200101,1200130,98,+
1200138,1200166,54,-
1205097,1205139,54,+
1205264,1205283,66,+
1207917,1207955,54,+
1209187,1209220,50,-
1213685,1213733,74,-
1213753,1213782,98,+
1214717,1214742,69,+
1217771,1217803,68,+
1219184,1219211,55,-
1219948,1219973,47,+
1221788,1221804,52,+
1224755,1224779,76,+
1225664,1225697,56,+
1226198,1226242,54,+
1226442,1226465,60,+
1229033,1229077,53,-
1229127,1229164,59,+
1229281,1229300,49,+
1230357,1230385,71,+
1231172,1231217,53,+
1233030,1233059,52,+
1236149,1236167,51,-
1238585,1238617,76,+
1239859,1239877,50,-
1240245,1240274,52,+
1240423,1240449,57,+
1240763,1240800,56,+
1240911,1240960,48,+
1242455,1242475,47,-
1242601,1242623,48,-
1243701,1243725,59,+
1243796,1243833,53,-
1244457,1244482,61,-
1249720,1249756,61,-
1251073,1251117,47,-
1252541,1252565,59,-
1253240,1253272,49,+
1253313,1253333,48,+
1253600,1253633,48,-
1253749,1253773,71,+
1254431,1254459,65,+
1254469,1254493,58,-
1256829,1256851,48,-
1257879,1257895,52,-
1258093,1258124,62,-
1262294,1262319,68,-
1262801,1262827,56,+
1264081,1264102,52,+
1264604,1264634,51,+
1264700,1264731,62,+
1265388,1265408,49,-
1268600,1268624,59,-
1270271,1270290,47,-
1271800,1271834,62,-
1274873,1274893,47,-
1278087,1278122,58,-
1279417,1279457,73,+
1279717,1279742,69,-
1281415,1281448,92,+
1283416,1283455,54,+
1283870,1283887,50,+
1283943,1283966,69,+
1284619,1284640,51,-
1288845,1288872,55,-
1290544,1290567,48,-
1297785,1297817,60,-
1297938,1297957,66,-
1299029,1299057,70,-
1304369,1304395,66,-
1306454,1306476,48,-
1307677,1307701,59,-
1309833,1309872,61,-
1309956,1309992,73,-
1310598,1310620,51,-
1310921,1310956,60,+
1312029,1312050,49,+
1312826,1312847,48,-
1313645,1313667,51,+
1314214,1314235,49,+
1316255,1316287,59,-
1317378,1317399,51,+
1320504,1320538,61,-
1320571,1320596,57,+
1322970,1323002,49,+
1323114,1323137,72,+
1323865,1323905,53,+
1324455,1324494,61,+
1327188,1327210,48,-
1329819,1329840,63,+
1330796,1330818,61,-
1334929,1334953,59,+
1335832,1335849,52,+
1336319,1336343,71,-
1336436,1336470,61,+
1341031,1341071,53,-
1341115,1341158,54,-
1341187,1341207,47,+
1341363,1341381,49,-
1341796,1341820,59,+
1345795,1345829,61,+
1347952,1347986,62,+
1348286,1348312,56,+
1350329,1350359,68,+
1351832,1351856,59,+
1352230,1352263,59,+
1353044,1353064,48,+
1359299,1359326,55,+
1360376,1360406,68,-
1367063,1367087,48,-
1371511,1371531,64,+
1379703,1379736,102,+
1381848,1381871,60,-
1382253,1382275,48,+
1383470,1383489,49,+
1386167,1386207,50,+
1388722,1388743,49,-
1389031,1389060,98,+
1389076,1389106,52,-
1389974,1389997,49,+
1391838,1391875,56,+
1392516,1392550,59,-
1393364,1393384,47,+
1393779,1393796,69,+
1394654,1394682,63,-
1394723,1394742,47,-
1395320,1395342,73,+
1395368,1395411,47,+
1399420,1399444,48,+
1399854,1399885,55,+
1400489,1400529,69,+
1410169,1410198,52,-
1411281,1411324,52,+
1411716,1411740,48,-
1412388,1412405,69,-
1413062,1413084,61,+
1414589,1414615,56,+
1414686,1414720,58,+
1414796,1414814,49,+
1415211,1415243,65,+
1415605,1415635,80,-
1416653,1416689,59,+
1418565,1418607,49,-
1418650,1418689,57,+
1421453,1421495,53,+
1421894,1421922,57,+
1424317,1424348,60,-
1426924,1426956,51,-
1428302,1428321,66,+
1429417,1429453,48,-
1430167,1430208,54,+
1431572,1431602,68,+
1431896,1431921,47,+
1436529,1436570,50,-
1442372,1442394,48,-
1443460,1443489,58,-
1444383,1444422,73,+
1445402,1445438,59,+
1446116,1446142,56,+
1447104,1447146,53,-
1447248,1447276,63,+
1448032,1448061,98,+
1450928,1450967,51,+
1452960,1452980,48,+
1456286,1456315,52,+
1459863,1459884,49,-
1462267,1462295,63,+
1462689,1462710,48,-
1465586,1465603,52,+
1465850,1465888,56,+
1465984,1466019,48,+
1466747,1466772,47,+
1467072,1467090,49,+
1467217,1467239,97,+
1467411,1467436,69,-
1467603,1467640,58,+
1468202,1468242,57,+
1468879,1468921,55,+
1471017,1471038,64,+
1471881,1471914,68,+
1473064,1473102,54,+
1476937,1476958,63,-
1478356,1478377,48,-
1479933,1479960,55,-
1480728,1480751,60,+
1482798,1482817,47,+
1483813,1483847,47,+
1485186,1485213,55,-
1489001,1489025,48,-
1490748,1490773,66,+
1490835,1490859,72,-
1492419,1492444,57,+
1494165,1494186,62,+
1495089,1495106,50,+
1495144,1495178,59,-
1496516,1496536,48,-
1496753,1496786,48,+
1497356,1497377,48,+
1497475,1497498,50,+
1499525,1499560,105,+
1499941,1499986,48,+
1500511,1500541,62,+
1503355,1503384,98,-
1505131,1505170,55,+
1505813,1505857,91,+
1505966,1505993,61,+
1506872,1506891,47,+
1507044,1507068,48,-
1507810,1507833,49,+
1508255,1508288,80,+
1510789,1510819,51,+
1517758,1517777,66,+
1518487,1518516,52,+
1521250,1521285,48,+
1521536,1521557,48,+
1522050,1522077,55,+
1522164,1522184,65,-
1522584,1522626,50,-
1522947,1522966,49,+
1526651,1526692,55,+
1527894,1527916,61,+
1530847,1530879,76,+
1534401,1534421,64,+
1534493,1534523,65,+
1535599,1535618,47,+
1538279,1538300,64,+
1538334,1538370,48,-
1538902,1538925,49,+
1540450,1540472,61,+
1541261,1541288,63,-
1543913,1543934,48,+
1547019,1547042,60,-
1548704,1548734,62,-
1549050,1549070,64,-
1549317,1549338,63,+
1549685,1549708,60,-
1552673,1552707,56,-
1552910,1552950,53,-
1553008,1553047,54,+
1554212,1554254,51,+
1555679,1555715,47,+
1556147,1556180,91,+
1556744,1556761,69,+
1557532,1557572,51,+
1557597,1557628,112,-
1560567,1560591,48,+
1561495,1561528,58,-
1561928,1561947,112,+
1561979,1562014,74,-
1562883,1562899,70,+
1563011,1563039,53,+
1564486,1564514,54,-
1564549,1564569,47,-
1565402,1565440,57,+
1567819,1567836,50,+
1568458,1568486,58,+
1568503,1568525,61,-
1569725,1569749,48,+
1570088,1570114,66,+
1571745,1571784,53,+
1572676,1572705,98,-
1574377,1574405,52,+
1574629,1574661,48,+
1574666,1574695,98,-
1577016,1577040,48,+
1577277,1577306,98,-
1577457,1577497,57,+
1577815,1577837,61,+
1578286,1578305,49,-
1579098,1579127,85,+
1579272,1579292,47,+
1579487,1579504,69,+
1580825,1580852,55,+
1583211,1583232,51,+
1583247,1583270,60,+
1585528,1585546,51,+
1587061,1587087,56,-
1587442,1587470,55,-
1587572,1587601,65,+
1590681,1590712,55,-
1591824,1591857,48,-
1591945,1591968,60,-
1592103,1592120,52,+
1593068,1593104,61,+
1593143,1593170,65,-
1594467,1594503,61,+
1594552,1594576,59,-
1596104,1596123,47,+
1596381,1596402,48,+
1596673,1596720,49,+
1597927,1597964,47,+
1598000,1598029,98,+
1598073,1598104,51,-
