start,end,score,strand
327248,327270,48,+
327500,327524,71,-
329171,329202,59,+
329464,329499,55,+
329794,329818,59,+
335428,335464,58,+
339829,339854,47,-
340830,340860,82,-
342122,342158,74,+
342635,342655,47,+
343502,343535,63,+
343652,343690,58,-
347264,347283,66,+
347843,347871,52,+
349407,349444,56,-
351467,351485,67,-
351902,351924,61,+
354535,354553,49,-
354753,354790,54,+
355977,355998,63,+
356193,356224,64,-
356582,356601,49,+
357136,357158,70,+
360817,360855,61,+
361782,361812,70,+
362447,362470,48,-
364530,364572,54,+
365025,365065,53,+
365355,365398,52,-
367092,367133,55,+
367313,367341,54,-
367394,367429,72,+
368908,368941,64,+
370276,370319,93,-
370437,370462,47,+
371305,371323,50,+
379367,379399,79,-
379497,379521,48,-
382094,382125,48,-
382504,382529,67,+
382768,382795,63,+
383987,384016,52,+
384051,384082,52,-
384546,384565,49,-
384618,384648,51,-
385519,385550,82,+
385817,385833,52,+
386959,386979,47,+
387142,387161,49,-
387506,387525,49,+
393985,394017,64,-
394938,394957,66,+
397555,397575,48,-
397600,397634,67,-
399491,399513,48,+
399857,399875,50,+
400170,400192,51,+
400784,400803,49,+
405755,405778,60,-
406880,406914,58,+
408637,408654,50,+
409792,409820,54,-
413788,413823,48,+
414696,414719,50,+
414979,415023,49,+
415180,415208,71,+
416941,416960,47,-
417672,417698,61,+
418524,418540,52,-
418730,418757,69,-
418841,418862,63,+
420061,420105,52,-
421231,421258,68,+
421786,421816,51,+
423589,423622,60,-
424788,424809,51,-
425516,425535,47,+
426161,426178,50,-
428161,428182,72,-
428193,428224,112,-
429060,429093,60,+
431887,431911,59,+
437998,438016,67,+
441115,441132,50,+
444239,444262,50,-
445662,445689,64,+
447930,447950,49,+
449353,449392,54,-
451120,451147,55,-
451319,451354,119,-
451900,451922,62,+
452918,452945,66,-
454356,454377,63,+
454963,455002,61,-
457036,457071,56,+
458314,458347,48,+
459460,459489,63,+
462529,462570,58,+
465386,465405,47,-
472652,472690,49,+
477114,477135,49,+
480812,480852,55,+
481091,481130,54,+
481437,481454,52,+
483195,483227,59,+
483442,483477,119,-
484062,484100,58,+
484688,484713,67,+
485161,485195,72,+
487114,487145,70,-
488099,488118,49,+
490335,490365,59,+
492202,492226,48,+
492937,492968,60,+
493027,493046,47,+
493955,493982,70,+
495686,495720,59,-
497366,497394,52,+
498114,498146,70,-
499713,499746,48,+
500627,500657,52,+
501505,501522,52,+
503558,503593,65,-
503667,503695,54,+
503823,503870,50,+
506448,506471,60,+
506613,506641,63,+
508080,508103,49,+
508163,508198,119,-
508916,508942,57,-
510215,510233,67,+
512654,512679,57,+
514009,514042,60,+
515663,515697,47,+
515786,515818,49,-
517369,517389,47,+
518152,518172,48,+
521341,521366,57,-
522198,522240,53,-
522224,522260,56,+
523526,523566,52,+
524912,524937,57,-
529092,529116,48,-
529490,529512,49,+
531835,531863,69,+
532450,532478,63,+
532864,532899,62,+
532939,532957,49,+
533713,533734,63,-
534217,534247,54,-
534620,534641,52,+
534934,534964,62,+
535381,535404,60,+
537362,537407,52,+
539376,539410,59,-
540581,540627,50,+
541242,541263,48,+
541616,541655,54,+
542682,542723,69,+
542863,542895,47,+
549145,549176,62,+
551205,551229,69,+
551458,551484,56,-
553470,553497,85,+
555153,555172,49,+
556343,556376,52,+
558415,558441,71,+
559850,559880,62,+
560900,560925,57,+
561013,561037,48,-
561271,561299,54,-
562202,562239,56,+
562417,562448,50,+
562979,563009,65,+
563034,563063,52,+
564986,565005,49,-
565621,565641,47,+
567254,567281,55,+
568362,568386,48,+
568571,568615,48,+
568653,568690,56,+
569759,569783,67,-
573372,573401,52,+
573990,574022,48,+
574115,574135,47,-
574315,574345,66,+
574745,574787,55,-
578346,578365,47,-
579205,579223,49,+
585484,585504,64,+
588023,588042,66,+
590204,590234,51,+
591229,591250,63,-
593591,593628,47,-
594811,594840,61,+
594936,594969,65,+
595331,595355,48,-
595566,595583,50,+
596279,596313,60,+
597285,597304,66,+
601442,601467,66,+
602871,602902,65,+
603125,603155,70,-
603998,604017,47,+
608006,608041,58,+
608435,608451,52,+
608837,608865,70,+
609996,610043,48,+
610934,610969,64,+
611258,611289,55,+
613103,613128,47,-
613833,613853,47,+
614097,614116,47,-
615309,615330,63,+
623278,623302,89,+
624976,625009,60,-
625271,625295,48,-
626827,626862,61,+
631448,631466,67,-
632269,632294,57,-
632799,632833,60,-
634578,634611,47,-
636183,636219,57,+
636297,636334,96,+
636350,636382,49,+
636411,636434,60,+
645401,645423,51,+
649407,649428,48,-
649513,649539,58,+
649588,649634,48,+
651851,651883,49,-
652473,652496,48,+
656056,656090,64,+
656702,656746,90,+
658638,658669,83,+
658675,658713,73,-
659268,659299,59,-
659526,659557,103,+
661239,661275,70,-
661428,661464,59,+
663047,663077,51,+
667703,667736,58,+
667796,667832,55,+
668438,668477,54,+
675831,675857,68,+
682386,682409,60,-
687817,687850,60,+
692909,692949,54,+
693393,693438,52,+
697539,697561,70,-
698583,698610,55,+
699834,699860,58,+
705960,705981,48,-
706336,706372,47,+
706758,706787,52,+
706866,706890,59,+
710682,710707,57,+
713699,713732,58,+
714378,714407,52,-
714587,714604,50,+
715946,715971,47,-
716805,716823,50,+
719820,719847,55,+
720706,720747,57,+
721495,721513,51,+
726210,726249,53,+
727877,727911,80,+
730018,730063,48,-
730791,730832,50,-
736647,736679,62,+
738181,738199,50,+
738708,738747,57,-
739247,739274,55,-
740028,740060,65,-
745911,745934,48,+
749064,749092,53,-
749308,749334,56,+
749685,749717,49,+
749882,749915,60,+
751401,751418,69,-
753109,753131,61,-
753679,753710,51,-
754487,754507,47,+
757068,757089,48,+
758709,758725,70,+
759256,759277,49,-
759753,759784,50,-
760824,760857,60,-
761849,761883,64,-
763200,763219,47,+
763606,763628,61,+
771948,771985,64,+
772228,772260,70,+
774337,774369,68,+
774933,774966,48,-
775507,775548,65,+
778774,778794,64,+
779489,779515,88,+
779548,779569,63,+
779793,779817,48,-
781716,781744,69,-
781836,781863,55,-
785104,785123,66,+
785276,785294,49,+
789106,789135,52,-
790565,790589,59,+
790905,790926,63,+
791707,791731,59,+
800546,800575,52,+
800608,800632,59,+
800660,800689,52,+
801929,801956,60,+
806421,806452,112,+
808200,808219,51,+
808636,808666,63,+
811309,811337,66,-
813508,813529,63,+
815882,815902,47,+
819574,819602,61,+
824183,824219,59,-
824553,824573,47,+
824939,824983,52,+
825137,825154,52,-
826613,826638,47,-
826648,826681,64,+
828881,828898,50,+
829319,829341,61,+
830968,830984,52,+
832030,832045,72,+
836428,836456,54,-
841522,841538,70,-
842474,842506,56,-
842616,842655,53,-
843108,843131,48,+
845215,845247,49,-
846294,846327,60,+
849645,849684,59,+
850397,850420,50,+
850687,850707,64,-
851260,851283,49,-
856313,856340,61,-
857182,857203,48,-
858583,858613,51,+
859548,859579,54,+
860167,860187,64,+
863661,863686,69,+
865178,865212,59,-
865549,865570,72,+
865692,865719,55,+
870276,870308,59,-
870420,870451,68,+
871203,871237,56,-
871260,871291,62,+
876987,877008,63,+
878198,878222,48,+
878572,878592,49,+
880200,880241,51,+
880867,880889,48,-
883610,883634,48,+
885080,885117,58,+
887998,888033,47,-
888946,888966,48,-
893843,893868,47,-
896293,896319,56,-
896437,896472,60,+
897905,897941,59,-
901386,901412,56,-
906112,906152,59,-
906267,906290,60,-
909628,909647,49,+
909896,909914,67,-
911889,911913,69,+
912063,912096,64,+
912155,912195,57,+
912260,912287,65,+
913908,913928,48,-
914674,914707,61,+
917005,917035,65,+
922819,922850,65,+
924069,924101,49,-
928383,928413,63,+
929690,929709,47,-
934270,934312,54,-
937959,937982,48,+
941706,941729,48,-
946346,946372,56,+
948468,948492,48,+
950649,950666,69,+
951352,951387,94,-
952326,952365,54,-
952794,952811,50,+
953395,953430,59,-
957418,957446,54,-
961175,961201,60,+
961329,961349,64,-
962935,962958,50,-
962988,963020,65,+
964222,964257,119,-
964371,964391,64,-
966719,966744,60,+
969322,969347,57,-
969540,969575,94,-
970042,970089,49,-
973262,973307,50,+
974320,974356,58,-
975079,975102,49,+
975229,975247,49,+
975786,975808,61,-
976910,976938,54,+
977023,977066,50,+
982737,982763,55,-
988190,988226,57,-
989266,989295,65,+
989369,989402,62,+
989782,989801,65,+
990006,990048,85,+
992565,992584,47,-
998230,998263,62,+
1000299,1000328,63,+
1000348,1000392,52,+
1002172,1002207,65,+
1004398,1004426,65,+
1004436,1004466,62,-
1006220,1006257,56,+
1006388,1006422,48,+
1007036,1007059,72,+
1007739,1007757,50,+
1008828,1008856,57,-
1011908,1011936,65,+
1013188,1013210,61,-
1013332,1013348,53,-
1014573,1014593,48,+
1016324,1016346,61,-
1019380,1019406,56,-
1020300,1020333,60,-
1021699,1021718,66,+
1024929,1024955,56,+
1025601,1025627,56,+
1026017,1026044,55,-
1028474,1028495,48,-
1032238,1032257,49,+
1033898,1033929,50,-
1035800,1035824,69,+
1038708,1038734,57,+
1040617,1040634,69,+
1040693,1040726,64,-
1041116,1041138,51,+
1042909,1042927,67,-
1043317,1043353,52,+
1044643,1044674,67,+
1045271,1045294,49,+
1045416,1045448,49,+
1045632,1045664,54,+
1045995,1046030,58,+
1053367,1053389,49,-
1054672,1054691,47,-
1059019,1059060,52,-
1061228,1061264,56,-
1066923,1066955,60,+
1068101,1068142,58,+
1068289,1068322,60,-
1071297,1071315,51,-
1072752,1072786,54,+
1073978,1074004,56,+
1081140,1081173,62,+
1081883,1081930,90,-
1083261,1083279,51,-
1087681,1087712,62,+
1088264,1088290,64,+
1088365,1088397,63,-
1093588,1093613,58,+
1098217,1098237,47,-
1098317,1098343,66,+
1098737,1098772,119,+
1099019,1099054,61,+
1099291,1099315,59,+
1102815,1102836,63,+
1103669,1103703,62,+
1107973,1107996,60,+
1119446,1119464,50,+
1119746,1119783,71,+
1120905,1120937,62,+
1120983,1121009,69,+
1121805,1121823,49,-
1122101,1122148,47,+
1122580,1122608,63,-
1123039,1123064,57,+
1124902,1124919,50,-
1125187,1125218,50,+
1127380,1127398,67,-
1127409,1127432,60,-
1127554,1127584,70,-
1127731,1127759,54,-
1128650,1128673,69,+
1129552,1129591,57,-
1130516,1130549,64,-
1132087,1132122,76,+
1132223,1132242,49,+
1132599,1132626,60,+
1134699,1134722,49,+
1136871,1136891,49,-
1142851,1142871,49,+
1142975,1142997,51,+
1144628,1144653,57,+
1148003,1148026,60,+
1150710,1150739,67,+
1150751,1150784,65,+
1150903,1150922,47,-
1154201,1154233,50,+
1155163,1155200,59,-
1157653,1157673,47,+
1161448,1161471,48,+
1162951,1162970,49,-
1164604,1164632,55,+
1168538,1168570,93,+
1169865,1169890,61,+
1175020,1175056,58,+
1177343,1177381,61,-
1177505,1177524,52,+
1178405,1178425,47,+
1179161,1179180,66,+
1180055,1180089,59,-
1180452,1180471,49,-
1182807,1182824,50,+
1186408,1186428,47,-
1187553,1187573,64,+
1188645,1188671,55,+
1192137,1192174,53,+
1195127,1195154,55,+
1195512,1195531,47,-
1196250,1196271,62,+
1196887,1196905,52,-
1197401,1197433,51,+
1197702,1197718,52,+
1198411,1198433,61,-
1200392,1200434,57,-
1203887,1203907,47,+
1207584,1207614,65,+
1210940,1210967,66,+
1212136,1212152,52,-
1214258,1214279,48,+
1216703,1216742,54,+
1216949,1216986,70,+
1217926,1217944,49,+
1218067,1218095,52,+
1219182,1219201,47,+
1219327,1219359,66,+
1227244,1227275,67,-
1228173,1228209,55,+
1233170,1233204,79,+
1233477,1233523,90,+
1234755,1234801,90,+
1236233,1236276,93,+
1236412,1236443,65,+
1237960,1237992,67,+
1238047,1238069,72,+
1238428,1238448,64,-
1239570,1239599,52,+
1240409,1240445,59,+
1240577,1240603,56,-
1240882,1240914,60,+
1241545,1241567,51,-
1241647,1241674,55,+
1241701,1241723,79,-
1242001,1242025,48,-
1242171,1242199,54,-
1244371,1244388,52,+
1244453,1244485,54,+
1244674,1244692,49,-
1245374,1245401,65,+
1247069,1247091,48,+
1252275,1252315,53,-
1253119,1253145,56,+
1253863,1253892,52,+
1254556,1254576,64,+
1256172,1256191,51,-
1257504,1257524,48,+
1261848,1261880,65,+
1263221,1263259,57,+
1263434,1263452,49,+
1263813,1263858,53,+
1264641,1264664,60,+
1266369,1266390,64,+
1266771,1266795,59,+
1267960,1267981,62,+
1268251,1268270,51,+
1270473,1270510,70,+
1270525,1270554,61,-
1271104,1271144,58,-
1272111,1272142,50,+
1273584,1273608,59,-
1274237,1274271,55,+
1275557,1275574,50,+
1276490,1276520,51,+
1277473,1277496,59,+
1279544,1279561,52,+
1279718,1279744,58,+
1282996,1283025,52,+
1285223,1285240,69,+
1286210,1286244,51,-
1287205,1287236,67,+
1290603,1290638,94,+
1292390,1292421,78,+
1293566,1293595,51,+
1293832,1293864,49,+
1293881,1293907,56,+
1294494,1294535,47,+
1295121,1295166,52,+
1296565,1296582,69,-
1297826,1297852,56,+
1299238,1299263,57,-
1299571,1299620,75,+
1301679,1301704,47,-
1302613,1302636,70,+
1302846,1302870,67,+
1303310,1303331,64,-
1303621,1303648,65,+
1304416,1304452,48,+
1304840,1304869,52,+
1306547,1306579,59,+
1306597,1306618,63,-
1306781,1306821,55,+
1307452,1307474,72,+
1307731,1307747,53,+
1308974,1309007,48,-
1309501,1309542,57,+
1309668,1309694,56,-
1310524,1310540,53,+
1312032,1312059,65,-
1313597,1313617,47,+
1316068,1316097,52,+
1316487,1316514,61,+
1318878,1318919,49,+
1318938,1318966,54,+
1319018,1319042,48,+
1319152,1319175,70,+
1319358,1319380,61,+
1319873,1319907,59,-
1321155,1321173,67,+
1321410,1321450,50,-
1322470,1322487,50,-
1323353,1323377,48,-
1323459,1323492,62,+
1326262,1326283,62,+
1326788,1326822,60,+
1327048,1327064,53,+
1329647,1329673,56,+
1330115,1330140,47,-
1330238,1330270,54,+
1330703,1330723,49,-
1332043,1332064,63,+
1333964,1333997,60,-
1335071,1335108,59,+
1336092,1336111,47,-
1336430,1336459,69,-
1336684,1336703,47,-
1337295,1337313,49,+
1337628,1337646,49,+
1340892,1340912,47,+
1341661,1341686,47,-
1341862,1341879,50,-
1343726,1343770,93,+
1344088,1344108,49,-
1344332,1344355,48,+
1345048,1345069,48,+
1346038,1346062,59,+
1346073,1346098,47,-
1350440,1350474,59,+
1351950,1351968,50,-
1352678,1352699,63,+
1352842,1352882,57,-
1353467,1353487,47,+
1354350,1354393,54,+
1354477,1354497,47,-
1354519,1354542,70,+
1354740,1354776,58,+
1356013,1356033,47,+
1356504,1356535,50,+
1356929,1356959,67,+
1357174,1357192,50,+
1357248,1357286,61,+
1358163,1358185,72,+
1359612,1359642,65,-
1359632,1359660,54,+
1359819,1359843,59,+
1360068,1360102,95,+
1360123,1360156,60,+
1360227,1360261,59,-
1361919,1361952,63,-
1362144,1362178,59,+
1362243,1362283,48,+
1363173,1363194,63,+
1364185,1364208,50,+
1366015,1366049,50,+
1367489,1367513,59,-
1368126,1368164,58,-
1368699,1368718,49,-
1370189,1370218,52,+
1372412,1372435,49,+
1372488,1372522,59,+
1373672,1373689,69,+
1374995,1375023,54,+
1375637,1375666,69,-
1375863,1375888,47,+
1376899,1376920,63,+
1377156,1377189,60,-
1377628,1377651,60,+
1378010,1378027,50,+
1379032,1379067,107,+
1379122,1379154,79,-
1379927,1379949,63,+
1380360,1380393,56,+
1381386,1381410,69,+
1382101,1382130,60,-
1382143,1382179,58,-
1383856,1383875,49,-
1384718,1384761,50,+
1385601,1385640,53,+
1386367,1386393,56,-
1387424,1387457,56,+
1387979,1388018,58,-
1388896,1388931,50,+
1391644,1391672,54,+
1392831,1392860,52,+
1394610,1394637,55,-
1395119,1395156,55,+
1395592,1395612,49,+
1395917,1395949,49,-
1396839,1396859,49,+
1397928,1397949,63,-
1404108,1404138,54,+
1405466,1405485,66,-
1406528,1406562,62,+
1406930,1406953,60,+
1407811,1407860,47,-
1409464,1409483,47,-
1410896,1410925,52,+
1411443,1411462,49,+
1411731,1411762,49,-
1413239,1413278,51,+
1413985,1414013,54,+
1415700,1415733,52,+
1420018,1420046,53,+
1420427,1420457,52,+
1420540,1420571,65,+
1422552,1422588,61,-
1423434,1423467,62,+
1423505,1423542,61,+
1426523,1426558,91,+
1427134,1427158,58,+
1428517,1428563,49,-
1428607,1428626,66,+
1429535,1429554,51,+
1430663,1430697,67,+
1433144,1433176,67,-
1434052,1434071,66,-
1434096,1434116,47,+
1435312,1435343,60,+
1438274,1438305,55,+
1441399,1441423,48,+
1441644,1441666,48,+
1442442,1442477,47,-
1443258,1443284,56,+
1443382,1443415,62,+
1444052,1444081,103,+
1444549,1444568,49,+
1445487,1445512,66,+
1446831,1446850,49,-
1447912,1447940,54,-
1453884,1453911,65,+
1457504,1457542,51,+
1460654,1460687,64,+
1463971,1464005,47,-
1464505,1464550,49,+
1468934,1468956,48,+
1469073,1469092,47,+
1469824,1469865,70,+
1470735,1470766,66,+
1474227,1474261,60,-
1475516,1475533,50,+
1476528,1476567,55,+
1477508,1477532,59,+
1477682,1477698,52,+
1479359,1479376,69,+
1480145,1480170,60,+
1481319,1481346,55,+
1483152,1483181,58,+
1485331,1485354,70,+
1485671,1485708,70,+
1486673,1486698,71,+
1487972,1487991,47,+
1491859,1491893,74,+
1492386,1492415,52,-
1492590,1492627,74,-
1496193,1496213,47,+
1496406,1496430,59,+
1498495,1498530,61,-
1498582,1498614,62,-
1499211,1499258,50,+
1500085,1500118,60,-
1503234,1503267,70,+
1503714,1503733,66,+
1505064,1505087,64,+
1505449,1505478,80,+
1505976,1506000,59,+
1508210,1508230,64,-
1516043,1516073,51,+
1516565,1516583,49,-
1516952,1516985,58,-
1520317,1520342,57,+
1521826,1521853,55,+
1522448,1522490,50,+
1523777,1523808,64,+
1524002,1524023,49,-
1524241,1524270,80,+
1524367,1524407,57,+
1524806,1524833,65,+
1525948,1525973,47,+
1526677,1526696,49,+
1526832,1526865,48,+
1533500,1533535,56,+
1534265,1534305,49,+
1536426,1536468,53,+
1537179,1537197,67,-
1541018,1541050,52,+
1541152,1541190,59,+
1543806,1543827,52,+
1543913,1543943,68,-
1544678,1544706,54,+
1547493,1547523,65,+
1547632,1547670,73,+
1547679,1547700,63,+
1547847,1547871,71,+
1548214,1548247,62,-
1548252,1548282,64,+
1548627,1548674,49,-
1551270,1551297,61,+
1556455,1556493,54,-
1557186,1557211,66,+
1557993,1558029,59,+
1560295,1560336,49,+
1560463,1560492,52,-
1560708,1560746,56,-
1566224,1566241,50,+
1567364,1567383,47,-
1567845,1567876,65,+
1568102,1568125,60,-
1568730,1568763,64,+
1569057,1569079,51,-
1571015,1571040,57,+
1571876,1571896,47,+
1573593,1573625,76,+
1574042,1574071,63,+
1574433,1574461,52,+
1575499,1575517,51,+
1575991,1576032,69,+
1576647,1576676,80,+
1577494,1577520,56,+
1577744,1577763,49,-
1577877,1577901,59,-
1577909,1577925,70,+
1578297,1578338,55,+
1578846,1578880,60,+
1578965,1578986,52,+
1581551,1581569,50,+
1583496,1583533,55,+
1584054,1584075,63,+
1585246,1585264,52,-
1586139,1586163,63,-
1587583,1587605,48,+
1587660,1587682,70,+
1589781,1589815,78,+
1589859,1589888,79,+
1592562,1592608,85,+
1594558,1594581,48,+
1595589,1595620,62,+
1597359,1597386,81,+
1599920,1599936,52,+
1600741,1600756,53,+
1603762,1603786,58,+
1604489,1604510,51,+
1609461,1609480,66,+
1611203,1611227,61,+
1611413,1611447,61,-
1613548,1613567,49,+
1613795,1613825,68,-
1614569,1614594,75,+
1614931,1614976,48,-
1617969,1617989,51,+
1618745,1618778,52,+
1620359,1620378,47,-
1620659,1620680,52,+
1621930,1621949,51,+
1624577,1624602,103,+
1624653,1624681,52,-
1624758,1624775,50,+
1624936,1624952,70,-
1624998,1625018,49,-
1625966,1625988,51,+
1627430,1627450,64,+
1628053,1628092,50,+
1628374,1628403,69,-
1629106,1629141,64,-
1630690,1630712,48,-
1631183,1631212,63,-
1634250,1634279,63,+
1635109,1635126,52,+
1636553,1636576,60,+
1641797,1641829,49,-
1642695,1642729,48,-
1645688,1645709,48,+
1648154,1648176,61,-
1648257,1648286,52,+
1648704,1648736,59,-
1649796,1649825,52,-
1651057,1651076,56,+
1651173,1651217,64,+
1651464,1651486,63,-
1651698,1651725,55,-
1652396,1652431,58,+
1656767,1656810,53,+
1658413,1658432,66,+
1659670,1659697,55,+
1664325,1664369,49,+
1667786,1667806,47,+
1668353,1668381,52,+
1668822,1668862,53,+
1670574,1670604,62,+
1671003,1671020,50,-
1672149,1672186,55,+
1672671,1672699,81,+
1674525,1674557,49,+
1675248,1675282,65,-
1676038,1676073,50,+
1678045,1678066,48,+
1678717,1678757,53,+
1679121,1679158,55,+
1680947,1680971,59,+
1683727,1683747,64,-
1684820,1684837,52,+
1685011,1685050,53,+
1686106,1686136,77,+
1690347,1690385,71,+
1691709,1691739,62,+
1693600,1693641,54,+
1693914,1693950,54,+
1694259,1694293,64,-
1694704,1694748,50,-
1696092,1696134,50,+
1696474,1696496,70,+
1696676,1696696,64,-
1697271,1697295,72,+
1697389,1697413,59,+
1698183,1698213,51,+
1698700,1698734,62,+
1704061,1704096,64,+
1704297,1704317,47,-
1704566,1704587,62,+
1706807,1706842,78,+
1706883,1706902,47,-
1707508,1707550,55,+
1712468,1712492,58,+
1712882,1712900,50,+
1718430,1718456,56,+
1720502,1720541,55,+
1721388,1721424,54,+
1722465,1722489,59,+
1722893,1722929,64,+
1725833,1725861,54,+
1726171,1726191,52,+
1727884,1727913,54,-
1730995,1731023,66,-
1731179,1731203,72,+
1732513,1732543,111,+
1736503,1736529,66,-
1736562,1736589,69,-
1736616,1736650,67,-
1738947,1738983,58,+
1741163,1741196,103,+
1743001,1743019,50,+
1743471,1743498,55,-
1743504,1743539,61,+
1743906,1743925,47,+
1744518,1744551,52,+
1748316,1748335,51,+
1748844,1748865,63,+
1752285,1752317,52,+
1754466,1754495,52,-
1755888,1755926,59,-
1756709,1756743,51,-
1758022,1758046,59,-
1758580,1758608,53,+
1759236,1759267,65,-
1760654,1760673,49,-
1764760,1764782,49,+
1766918,1766937,66,-
1766962,1766982,48,-
1767053,1767077,59,-
1767572,1767601,67,-
1772209,1772228,49,+
1772511,1772551,51,-
1775074,1775091,50,+
1776342,1776372,65,+
1778289,1778324,78,+
1778727,1778760,64,+
1779573,1779600,72,+
1779690,1779715,58,+
1780112,1780149,76,+
1780236,1780269,48,-
1781900,1781920,51,+
1782068,1782091,50,+
1783002,1783021,47,-
1787616,1787652,61,-
1788326,1788343,50,+
1788477,1788507,51,-
1788539,1788559,49,-
1789389,1789409,65,+
1790244,1790269,47,-
1790484,1790519,50,-
1792450,1792478,54,+
1793307,1793326,47,+
1794269,1794294,47,+
1795755,1795792,58,+
1797240,1797285,50,+
1798065,1798089,48,+
1798629,1798659,66,+
1801679,1801703,76,+
1803244,1803268,59,+
1803721,1803740,49,+
1806645,1806663,51,+
1806968,1806997,52,-
1808502,1808539,52,+
1809428,1809463,64,+
1809569,1809593,59,-
1810276,1810316,55,-
1811305,1811337,49,+
1814266,1814303,59,+
1817640,1817679,84,+
1818248,1818290,55,-
1820396,1820418,97,+
1820814,1820843,65,+
1821098,1821117,66,+
1822730,1822748,49,-
1827821,1827841,47,-
1829517,1829537,47,+
1830189,1830218,58,+
1830726,1830761,56,+
1831133,1831158,57,-
1831637,1831654,69,+
1832293,1832332,57,-
1832459,1832494,72,+
1835321,1835350,61,+
1836410,1836427,52,+
1838699,1838720,48,-
1839041,1839074,65,+
1843220,1843241,48,+
1843896,1843927,62,+
1844686,1844718,49,-
1845173,1845195,48,+
1846795,1846813,49,+
1851619,1851668,47,+
1852466,1852493,55,-
1853214,1853249,56,+
1853397,1853442,49,+
1855400,1855419,47,+
1855531,1855569,54,+
