# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8035	8436	-	WP_099620164.1	WP_099620164.1		ribonuclease P protein component	rnpA		CSW64_RS00040	402	133	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8489	8626	-					rpmH		CSW64_RS00045	138		old_locus_tag=CSW64_00045
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8489	8626	-	WP_099620165.1	WP_099620165.1		50S ribosomal protein L34	rpmH		CSW64_RS00045	138	45	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8728	9711	-							CSW64_RS00050	984		old_locus_tag=CSW64_00050
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8728	9711	-	WP_099620166.1	WP_099620166.1		NADPH:quinone oxidoreductase family protein			CSW64_RS00050	984	327	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	9784	10830	-							CSW64_RS00055	1047		old_locus_tag=CSW64_00055
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	9784	10830	-	WP_099620167.1	WP_099620167.1		alpha/beta hydrolase			CSW64_RS00055	1047	348	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	10843	11466	-							CSW64_RS00060	624		old_locus_tag=CSW64_00060
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	10843	11466	-	WP_099620168.1	WP_099620168.1		TetR/AcrR family transcriptional regulator			CSW64_RS00060	624	207	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	11525	12502	-							CSW64_RS00065	978		old_locus_tag=CSW64_00065
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	11525	12502	-	WP_099620169.1	WP_099620169.1		beta/gamma crystallin family protein			CSW64_RS00065	978	325	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	12579	13253	-							CSW64_RS00070	675		old_locus_tag=CSW64_00070
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	12579	13253	-	WP_099620170.1	WP_099620170.1		DsbA family protein			CSW64_RS00070	675	224	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	13326	13961	+							CSW64_RS00075	636		old_locus_tag=CSW64_00075
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	13326	13961	+	WP_172448405.1	WP_172448405.1		TetR/AcrR family transcriptional regulator			CSW64_RS00075	636	211	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	13958	15325	-							CSW64_RS00080	1368		old_locus_tag=CSW64_00080
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	13958	15325	-	WP_099620172.1	WP_099620172.1		NAD(P)-binding domain-containing protein			CSW64_RS00080	1368	455	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	15412	15753	-							CSW64_RS00085	342		old_locus_tag=CSW64_00085
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	15412	15753	-	WP_099620173.1	WP_099620173.1		hypothetical protein			CSW64_RS00085	342	113	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	15868	16395	+							CSW64_RS00090	528		old_locus_tag=CSW64_00090
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	15868	16395	+	WP_172448406.1	WP_172448406.1		lysozyme			CSW64_RS00090	528	175	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	16437	17351	-							CSW64_RS00095	915		old_locus_tag=CSW64_00095
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	16437	17351	-	WP_216361215.1	WP_216361215.1		SDR family oxidoreductase			CSW64_RS00095	915	304	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	17422	17856	-							CSW64_RS00100	435		old_locus_tag=CSW64_00100
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	17422	17856	-	WP_099620175.1	WP_099620175.1		YidB family protein			CSW64_RS00100	435	144	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	17978	18454	+					greA		CSW64_RS00105	477		old_locus_tag=CSW64_00105
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	17978	18454	+	WP_099620176.1	WP_099620176.1		transcription elongation factor GreA	greA		CSW64_RS00105	477	158	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	18493	19413	+							CSW64_RS00110	921		old_locus_tag=CSW64_00110
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	18493	19413	+	WP_099620177.1	WP_099620177.1		class I SAM-dependent methyltransferase			CSW64_RS00110	921	306	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	19455	20147	+							CSW64_RS00115	693		old_locus_tag=CSW64_00115
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	19455	20147	+	WP_245863918.1	WP_245863918.1		16S rRNA pseudouridine(516) synthase			CSW64_RS00115	693	230	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	20154	20864	-							CSW64_RS00120	711		old_locus_tag=CSW64_00120
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	20154	20864	-	WP_099620179.1	WP_099620179.1		YafY family transcriptional regulator			CSW64_RS00120	711	236	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	20948	21679	+							CSW64_RS00125	732		old_locus_tag=CSW64_00125
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	20948	21679	+	WP_099620180.1	WP_099620180.1		glutathione S-transferase family protein			CSW64_RS00125	732	243	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	21781	22587	-							CSW64_RS00130	807		old_locus_tag=CSW64_00130
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	21781	22587	-	WP_099620181.1	WP_099620181.1		DUF72 domain-containing protein			CSW64_RS00130	807	268	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	22648	23250	+					msrA		CSW64_RS00135	603		old_locus_tag=CSW64_00135
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	22648	23250	+	WP_099620182.1	WP_099620182.1		peptide-methionine (S)-S-oxide reductase MsrA	msrA		CSW64_RS00135	603	200	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	23288	24673	-							CSW64_RS00140	1386		old_locus_tag=CSW64_00140
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	23288	24673	-	WP_099624054.1	WP_099624054.1		L-serine ammonia-lyase			CSW64_RS00140	1386	461	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	24728	26392	-							CSW64_RS00145	1665		old_locus_tag=CSW64_00145
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	24728	26392	-	WP_099620183.1	WP_099620183.1		M28 family metallopeptidase			CSW64_RS00145	1665	554	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	26481	27212	-							CSW64_RS00150	732		old_locus_tag=CSW64_00150
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	26481	27212	-	WP_099620184.1	WP_099620184.1		SDR family oxidoreductase			CSW64_RS00150	732	243	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	27284	28288	+							CSW64_RS00155	1005		old_locus_tag=CSW64_00155
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	27284	28288	+	WP_099620185.1	WP_099620185.1		glutathione S-transferase			CSW64_RS00155	1005	334	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	28378	29547	-							CSW64_RS00160	1170		old_locus_tag=CSW64_00160
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	28378	29547	-	WP_099620186.1	WP_099620186.1		alanine racemase			CSW64_RS00160	1170	389	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	29547	30527	-							CSW64_RS00165	981		old_locus_tag=CSW64_00165
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	29547	30527	-	WP_099620187.1	WP_099620187.1		threonine/serine dehydratase			CSW64_RS00165	981	326	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	30594	31814	+							CSW64_RS00170	1221		old_locus_tag=CSW64_00170
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	30594	31814	+	WP_099620188.1	WP_099620188.1		M20 family metallopeptidase			CSW64_RS00170	1221	406	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	31824	32801	-							CSW64_RS00175	978		old_locus_tag=CSW64_00175
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	31824	32801	-	WP_099620189.1	WP_099620189.1		type II secretion system F family protein			CSW64_RS00175	978	325	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	32812	33795	-							CSW64_RS00180	984		old_locus_tag=CSW64_00180
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	32812	33795	-	WP_099620190.1	WP_099620190.1		type II secretion system F family protein			CSW64_RS00180	984	327	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	33799	35313	-							CSW64_RS00185	1515		old_locus_tag=CSW64_00185
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	33799	35313	-	WP_099620191.1	WP_099620191.1		CpaF family protein			CSW64_RS00185	1515	504	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	35320	36804	-							CSW64_RS00190	1485		old_locus_tag=CSW64_00190
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	35320	36804	-	WP_099620192.1	WP_099620192.1		CpaE family protein			CSW64_RS00190	1485	494	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	36808	37497	-							CSW64_RS00195	690		old_locus_tag=CSW64_00195
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	36808	37497	-	WP_099620193.1	WP_099620193.1		CpaD family pilus assembly protein			CSW64_RS00195	690	229	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	37503	38972	-							CSW64_RS00200	1470		old_locus_tag=CSW64_00200
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	37503	38972	-	WP_099620194.1	WP_099620194.1		type II and III secretion system protein family protein			CSW64_RS00200	1470	489	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	38969	39847	-					cpaB		CSW64_RS00205	879		old_locus_tag=CSW64_00205
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	38969	39847	-	WP_099620195.1	WP_099620195.1		Flp pilus assembly protein CpaB	cpaB		CSW64_RS00205	879	292	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	39982	40503	-							CSW64_RS00210	522		old_locus_tag=CSW64_00210
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	39982	40503	-	WP_099620196.1	WP_099620196.1		prepilin peptidase			CSW64_RS00210	522	173	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	40647	40808	-							CSW64_RS00215	162		old_locus_tag=CSW64_00215
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	40647	40808	-	WP_099620197.1	WP_099620197.1		Flp family type IVb pilin			CSW64_RS00215	162	53	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	41129	41569	+							CSW64_RS00220	441		old_locus_tag=CSW64_00220
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	41129	41569	+	WP_099620198.1	WP_099620198.1		pilus assembly protein N-terminal domain-containing protein			CSW64_RS00220	441	146	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	41635	42180	+							CSW64_RS00225	546		old_locus_tag=CSW64_00225
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	41635	42180	+	WP_099620199.1	WP_099620199.1		pilus assembly protein			CSW64_RS00225	546	181	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	42177	42725	+							CSW64_RS00230	549		old_locus_tag=CSW64_00230
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	42177	42725	+	WP_099620200.1	WP_099620200.1		pilus assembly protein			CSW64_RS00230	549	182	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	42718	43464	-							CSW64_RS00235	747		old_locus_tag=CSW64_00235
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	42718	43464	-	WP_245863919.1	WP_245863919.1		aminotransferase class IV			CSW64_RS00235	747	248	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	43472	44806	-							CSW64_RS00240	1335		old_locus_tag=CSW64_00240
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	43472	44806	-	WP_099620202.1	WP_099620202.1		anthranilate synthase component I family protein			CSW64_RS00240	1335	444	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	44844	46286	-							CSW64_RS00245	1443		old_locus_tag=CSW64_00245
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	44844	46286	-	WP_245863787.1	WP_245863787.1		MFS transporter			CSW64_RS00245	1443	480	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	46601	47374	-							CSW64_RS00250	774		old_locus_tag=CSW64_00250
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	46601	47374	-	WP_099620204.1	WP_099620204.1		tyrosine-protein phosphatase			CSW64_RS00250	774	257	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	47528	48406	+							CSW64_RS00255	879		old_locus_tag=CSW64_00255
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	47528	48406	+	WP_099620205.1	WP_099620205.1		ABC transporter ATP-binding protein			CSW64_RS00255	879	292	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	48421	52008	+							CSW64_RS00260	3588		old_locus_tag=CSW64_00260
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	48421	52008	+	WP_099620206.1	WP_099620206.1		aminopeptidase			CSW64_RS00260	3588	1195	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	52031	53950	-							CSW64_RS00265	1920		old_locus_tag=CSW64_00265
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	52031	53950	-	WP_099620207.1	WP_099620207.1		PAS domain-containing protein			CSW64_RS00265	1920	639	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54121	54465	+							CSW64_RS00270	345		old_locus_tag=CSW64_00270
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54121	54465	+	WP_245863788.1	WP_245863788.1		hypothetical protein			CSW64_RS00270	345	114	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54465	54869	+							CSW64_RS00275	405		old_locus_tag=CSW64_00275
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54465	54869	+	WP_245863789.1	WP_245863789.1		hypothetical protein			CSW64_RS00275	405	134	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54912	55547	+							CSW64_RS00280	636		old_locus_tag=CSW64_00280
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	54912	55547	+	WP_099620209.1	WP_099620209.1		superoxide dismutase			CSW64_RS00280	636	211	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	55616	55786	+							CSW64_RS00285	171		old_locus_tag=CSW64_00285
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	55616	55786	+	WP_099620210.1	WP_099620210.1		DUF1328 domain-containing protein			CSW64_RS00285	171	56	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	55850	56632	-							CSW64_RS00290	783		old_locus_tag=CSW64_00290
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	55850	56632	-	WP_099624056.1	WP_099624056.1		metallophosphoesterase			CSW64_RS00290	783	260	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	56638	57528	-							CSW64_RS00295	891		old_locus_tag=CSW64_00295
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	56638	57528	-	WP_245863790.1	WP_245863790.1		diacylglycerol kinase family lipid kinase			CSW64_RS00295	891	296	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	57659	58003	+							CSW64_RS00300	345		old_locus_tag=CSW64_00300
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	57659	58003	+	WP_099620212.1	WP_099620212.1		YMGG-like glycine zipper-containing protein			CSW64_RS00300	345	114	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	58084	58524	+							CSW64_RS00305	441		old_locus_tag=CSW64_00305
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	58084	58524	+	WP_099620213.1	WP_099620213.1		OmpA family protein			CSW64_RS00305	441	146	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	58792	59067	+							CSW64_RS00310	276		old_locus_tag=CSW64_00310
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	58792	59067	+	WP_099620214.1	WP_099620214.1		hypothetical protein			CSW64_RS00310	276	91	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	59143	59937	-							CSW64_RS00315	795		old_locus_tag=CSW64_00315
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	59143	59937	-	WP_099620215.1	WP_099620215.1		response regulator			CSW64_RS00315	795	264	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	60153	60338	+							CSW64_RS00320	186		old_locus_tag=CSW64_00320
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	60153	60338	+	WP_099620216.1	WP_099620216.1		hypothetical protein			CSW64_RS00320	186	61	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	60338	60949	+							CSW64_RS00325	612		old_locus_tag=CSW64_00325
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	60338	60949	+	WP_099620217.1	WP_099620217.1		sigma-70 family RNA polymerase sigma factor			CSW64_RS00325	612	203	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	61000	62652	+							CSW64_RS00330	1653		old_locus_tag=CSW64_00330
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	61000	62652	+	WP_245863920.1	WP_245863920.1		sensor histidine kinase			CSW64_RS00330	1653	550	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	62717	62851	+							CSW64_RS00335	135		old_locus_tag=CSW64_00335
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	62717	62851	+	WP_099620218.1	WP_099620218.1		entericidin A/B family lipoprotein			CSW64_RS00335	135	44	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	62910	64193	-							CSW64_RS00340	1284		old_locus_tag=CSW64_00340
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	62910	64193	-	WP_099620219.1	WP_099620219.1		cytochrome P450			CSW64_RS00340	1284	427	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	64290	65117	-							CSW64_RS00345	828		old_locus_tag=CSW64_00345
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	64290	65117	-	WP_099620220.1	WP_099620220.1		protein-glutamate O-methyltransferase CheR			CSW64_RS00345	828	275	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	65114	65479	-							CSW64_RS00350	366		old_locus_tag=CSW64_00350
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	65114	65479	-	WP_099620221.1	WP_099620221.1		response regulator			CSW64_RS00350	366	121	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	65571	66269	-							CSW64_RS00355	699		old_locus_tag=CSW64_00355
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	65571	66269	-	WP_245863921.1	WP_245863921.1		histidine phosphotransferase family protein			CSW64_RS00355	699	232	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	66323	66511	+							CSW64_RS00360	189		old_locus_tag=CSW64_00360
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	66323	66511	+	WP_099620223.1	WP_099620223.1		DUF3553 domain-containing protein			CSW64_RS00360	189	62	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	66508	67284	+					cysQ		CSW64_RS00365	777		old_locus_tag=CSW64_00365
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	66508	67284	+	WP_099620224.1	WP_099620224.1		3'(2'),5'-bisphosphate nucleotidase CysQ	cysQ		CSW64_RS00365	777	258	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	67852	68130	-							CSW64_RS00370	279		old_locus_tag=CSW64_00370
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	67852	68130	-	WP_099620225.1	WP_099620225.1		hypothetical protein			CSW64_RS00370	279	92	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	68193	68981	-					dapB		CSW64_RS00375	789		old_locus_tag=CSW64_00375
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	68193	68981	-	WP_099620226.1	WP_099620226.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		CSW64_RS00375	789	262	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	69190	71484	+							CSW64_RS00380	2295		old_locus_tag=CSW64_00380
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	69190	71484	+	WP_099620227.1	WP_099620227.1		NADP-dependent malic enzyme			CSW64_RS00380	2295	764	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	71706	73019	+							CSW64_RS00385	1314		old_locus_tag=CSW64_00385
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	71706	73019	+	WP_099620228.1	WP_099620228.1		Hsp70 family protein			CSW64_RS00385	1314	437	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	73035	73502	-							CSW64_RS00390	468		old_locus_tag=CSW64_00390
