# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	9535	11394	+	WP_164467233.1	WP_164467233.1		ABC transporter transmembrane domain-containing protein			C1707_RS00060	1860	619	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	11469	12005	+							C1707_RS00065	537		old_locus_tag=C1707_00065
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	11469	12005	+	WP_145998483.1	WP_145998483.1		hypothetical protein			C1707_RS00065	537	178	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	12002	12325	-							C1707_RS00070	324		old_locus_tag=C1707_00070
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	12002	12325	-	WP_101715302.1	WP_101715302.1		hypothetical protein			C1707_RS00070	324	107	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	12433	13515	-							C1707_RS00075	1083		old_locus_tag=C1707_00075
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	12433	13515	-	WP_101715303.1	WP_101715303.1		glycerophosphodiester phosphodiesterase			C1707_RS00075	1083	360	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	13643	14440	-							C1707_RS00080	798		old_locus_tag=C1707_00080
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	13643	14440	-	WP_164467234.1	WP_164467234.1		inositol monophosphatase			C1707_RS00080	798	265	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	14703	14987	+							C1707_RS00085	285		old_locus_tag=C1707_00085
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	14703	14987	+	WP_101715304.1	WP_101715304.1		hypothetical protein			C1707_RS00085	285	94	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	15122	15979	+							C1707_RS00090	858		old_locus_tag=C1707_00090
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	15122	15979	+	WP_101715305.1	WP_101715305.1		sigma-70 family RNA polymerase sigma factor			C1707_RS00090	858	285	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	16105	17607	+							C1707_RS00095	1503		old_locus_tag=C1707_00095
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	16105	17607	+	WP_101715306.1	WP_101715306.1		hypothetical protein			C1707_RS00095	1503	500	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	17767	18180	-							C1707_RS00100	414		old_locus_tag=C1707_00100
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	17767	18180	-	WP_101715307.1	WP_101715307.1		hypothetical protein			C1707_RS00100	414	137	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	18271	18918	-					thiE		C1707_RS00105	648		old_locus_tag=C1707_00105
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	18271	18918	-	WP_101715308.1	WP_101715308.1		thiamine phosphate synthase	thiE		C1707_RS00105	648	215	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19067	19252	+							C1707_RS00110	186		old_locus_tag=C1707_00110
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19067	19252	+	WP_058349592.1	WP_058349592.1		(2Fe-2S)-binding protein			C1707_RS00110	186	61	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19405	19887	+					bfr		C1707_RS00115	483		old_locus_tag=C1707_00115
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19405	19887	+	WP_058349593.1	WP_058349593.1		bacterioferritin	bfr		C1707_RS00115	483	160	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19948	20586	-							C1707_RS00120	639		old_locus_tag=C1707_00120
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	19948	20586	-	WP_101715309.1	WP_101715309.1		helix-turn-helix domain-containing protein			C1707_RS00120	639	212	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	20760	21095	+							C1707_RS00125	336		old_locus_tag=C1707_00125
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	20760	21095	+	WP_101715310.1	WP_101715310.1		hypothetical protein			C1707_RS00125	336	111	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21245	21667	-							C1707_RS00130	423		old_locus_tag=C1707_00130
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21245	21667	-	WP_101715311.1	WP_101715311.1		lysozyme inhibitor LprI family protein			C1707_RS00130	423	140	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21733	21948	-							C1707_RS00135	216		old_locus_tag=C1707_00135
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21733	21948	-	WP_101715312.1	WP_101715312.1		hypothetical protein			C1707_RS00135	216	71	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21896	22546	-							C1707_RS00140	651		old_locus_tag=C1707_00140
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	21896	22546	-	WP_101715313.1	WP_101715313.1		sigma-70 family RNA polymerase sigma factor			C1707_RS00140	651	216	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	22677	23051	-							C1707_RS00145	375		old_locus_tag=C1707_00145
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	22677	23051	-	WP_058349598.1	WP_058349598.1		flagellar protein FliS			C1707_RS00145	375	124	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	23038	24726	-					fliD		C1707_RS00150	1689		old_locus_tag=C1707_00150
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	23038	24726	-	WP_101715314.1	WP_101715314.1		flagellar filament capping protein FliD	fliD		C1707_RS00150	1689	562	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	24820	25650	-							C1707_RS00155	831		old_locus_tag=C1707_00155
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	24820	25650	-	WP_101715315.1	WP_101715315.1		flagellin			C1707_RS00155	831	276	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	25772	26140	-							C1707_RS00160	369		old_locus_tag=C1707_00160
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	25772	26140	-	WP_101715316.1	WP_101715316.1		antibiotic biosynthesis monooxygenase			C1707_RS00160	369	122	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	26269	27162	+							C1707_RS00165	894		old_locus_tag=C1707_00165
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	26269	27162	+	WP_240633828.1	WP_240633828.1		LysR family transcriptional regulator			C1707_RS00165	894	297	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	27293	27574	+							C1707_RS00170	282		old_locus_tag=C1707_00170
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	27293	27574	+	WP_101715318.1	WP_101715318.1		flagellar hook capping protein			C1707_RS00170	282	93	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	27586	28863	+					flgE		C1707_RS00175	1278		old_locus_tag=C1707_00175
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	27586	28863	+	WP_101715319.1	WP_101715319.1		flagellar hook protein FlgE	flgE		C1707_RS00175	1278	425	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	28869	29195	+							C1707_RS00180	327		old_locus_tag=C1707_00180
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	28869	29195	+	WP_145998484.1	WP_145998484.1		hypothetical protein			C1707_RS00180	327	108	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	29200	30927	+					flgK		C1707_RS00185	1728		old_locus_tag=C1707_00185
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	29200	30927	+	WP_101715321.1	WP_101715321.1		flagellar hook-associated protein FlgK	flgK		C1707_RS00185	1728	575	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	30930	31826	+							C1707_RS00190	897		old_locus_tag=C1707_00190
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	30930	31826	+	WP_101715322.1	WP_101715322.1		flagellin			C1707_RS00190	897	298	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	32201	33070	+							C1707_RS00195	870		old_locus_tag=C1707_00195
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	32201	33070	+	WP_101715323.1	WP_101715323.1		intradiol ring-cleavage dioxygenase			C1707_RS00195	870	289	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	33278	34420	+							C1707_RS00200	1143		old_locus_tag=C1707_00200
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	33278	34420	+	WP_101715324.1	WP_101715324.1		DUF3089 domain-containing protein			C1707_RS00200	1143	380	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	34543	34722	-							C1707_RS00210	180		old_locus_tag=C1707_00210
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	34543	34722	-	WP_058346966.1	WP_058346966.1		DUF1328 domain-containing protein			C1707_RS00210	180	59	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	34833	36761	+					cobT		C1707_RS00215	1929		old_locus_tag=C1707_00215
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	34833	36761	+	WP_101715325.1	WP_101715325.1		cobaltochelatase subunit CobT	cobT		C1707_RS00215	1929	642	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	36758	37828	+							C1707_RS00220	1071		old_locus_tag=C1707_00220
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	36758	37828	+	WP_101715326.1	WP_101715326.1		esterase-like activity of phytase family protein			C1707_RS00220	1071	356	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	37825	38844	-							C1707_RS00225	1020		old_locus_tag=C1707_00225
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	37825	38844	-	WP_101715327.1	WP_101715327.1		hypothetical protein			C1707_RS00225	1020	339	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	39437	39748	+							C1707_RS00230	312		old_locus_tag=C1707_00230
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	39437	39748	+	WP_058346490.1	WP_058346490.1		hypothetical protein			C1707_RS00230	312	103	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	40038	40340	+							C1707_RS00235	303		old_locus_tag=C1707_00235
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	40038	40340	+	WP_058346489.1	WP_058346489.1		hypothetical protein			C1707_RS00235	303	100	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	40511	40810	-					rpmB		C1707_RS00240	300		old_locus_tag=C1707_00240
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	40511	40810	-	WP_101715328.1	WP_101715328.1		50S ribosomal protein L28	rpmB		C1707_RS00240	300	99	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41022	41474	+							C1707_RS00245	453		old_locus_tag=C1707_00245
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41022	41474	+	WP_101715343.1	WP_101715343.1		DUF3617 family protein			C1707_RS00245	453	150	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41763	41978	+							C1707_RS00250	216		old_locus_tag=C1707_00250
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41763	41978	+	WP_101715329.1	WP_101715329.1		MbtH family NRPS accessory protein			C1707_RS00250	216	71	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41985	42491	-							C1707_RS00255	507		old_locus_tag=C1707_00255
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	41985	42491	-	WP_101715330.1	WP_101715330.1		helix-turn-helix transcriptional regulator			C1707_RS00255	507	168	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	42734	43924	+							C1707_RS00260	1191		old_locus_tag=C1707_00260
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	42734	43924	+	WP_101715331.1	WP_101715331.1		acetyl-CoA C-acyltransferase			C1707_RS00260	1191	396	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44296	44592	+							C1707_RS00265	297		old_locus_tag=C1707_00265
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44296	44592	+	WP_101715332.1	WP_101715332.1		hypothetical protein			C1707_RS00265	297	98	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44577	44846	+							C1707_RS00270	270		old_locus_tag=C1707_00270
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44577	44846	+	WP_240633829.1	WP_240633829.1		hypothetical protein			C1707_RS00270	270	89	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44908	45498	+					msrA		C1707_RS00275	591		old_locus_tag=C1707_00275
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	44908	45498	+	WP_101715334.1	WP_101715334.1		peptide-methionine (S)-S-oxide reductase MsrA	msrA		C1707_RS00275	591	196	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	45713	47083	+							C1707_RS00280	1371		old_locus_tag=C1707_00280
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	45713	47083	+	WP_101715335.1	WP_101715335.1		DUF4139 domain-containing protein			C1707_RS00280	1371	456	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	47125	48810	+							C1707_RS00285	1686		old_locus_tag=C1707_00285
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	47125	48810	+	WP_240633830.1	WP_240633830.1		DUF4139 domain-containing protein			C1707_RS00285	1686	561	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	49080	50096	+							C1707_RS00290	1017		old_locus_tag=C1707_00290
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	49080	50096	+	WP_101715336.1	WP_101715336.1		hypothetical protein			C1707_RS00290	1017	338	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	50127	50741	-							C1707_RS00295	615		old_locus_tag=C1707_00295
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	50127	50741	-	WP_058349935.1	WP_058349935.1		EipA family protein			C1707_RS00295	615	204	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	50962	52050	-					murG		C1707_RS00300	1089		old_locus_tag=C1707_00300
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	50962	52050	-	WP_101715337.1	WP_101715337.1		undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG		C1707_RS00300	1089	362	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	52127	53299	-					ftsW		C1707_RS00305	1173		old_locus_tag=C1707_00305
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	52127	53299	-	WP_101715338.1	WP_101715338.1		putative lipid II flippase FtsW	ftsW		C1707_RS00305	1173	390	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	53380	54525	-							C1707_RS00310	1146		old_locus_tag=C1707_00310
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	53380	54525	-	WP_101715339.1	WP_101715339.1		alpha/beta hydrolase			C1707_RS00310	1146	381	
gene	pseudogene	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	54844	55746	-							C1707_RS00315	903		partial;pseudo;old_locus_tag=C1707_00315
CDS	without_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	54844	55746	-				IS5 family transposase			C1707_RS00315	903		partial;pseudo
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	56004	56459	+							C1707_RS00320	456		old_locus_tag=C1707_00320
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	56004	56459	+	WP_101712398.1	WP_101712398.1		hypothetical protein			C1707_RS00320	456	151	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	56634	58043	-					murD		C1707_RS00325	1410		old_locus_tag=C1707_00325
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	56634	58043	-	WP_101712397.1	WP_101712397.1		UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD		C1707_RS00325	1410	469	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	58057	59172	-					mraY		C1707_RS00330	1116		old_locus_tag=C1707_00330
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	58057	59172	-	WP_101712396.1	WP_101712396.1		phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY		C1707_RS00330	1116	371	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	59172	60557	-					murF		C1707_RS00335	1386		old_locus_tag=C1707_00335
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	59172	60557	-	WP_101712395.1	WP_101712395.1		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	murF		C1707_RS00335	1386	461	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	60550	62007	-							C1707_RS00340	1458		old_locus_tag=C1707_00340
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	60550	62007	-	WP_101712394.1	WP_101712394.1		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase			C1707_RS00340	1458	485	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	62004	63767	-							C1707_RS00345	1764		old_locus_tag=C1707_00345
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	62004	63767	-	WP_101712393.1	WP_101712393.1		penicillin-binding protein 2			C1707_RS00345	1764	587	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	63764	64195	-							C1707_RS00350	432		old_locus_tag=C1707_00350
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	63764	64195	-	WP_101712392.1	WP_101712392.1		cell division protein			C1707_RS00350	432	143	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	64192	65133	-					rsmH		C1707_RS00355	942		old_locus_tag=C1707_00355
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	64192	65133	-	WP_101712391.1	WP_101712391.1		16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH		C1707_RS00355	942	313	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	65130	65597	-							C1707_RS00360	468		old_locus_tag=C1707_00360
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	65130	65597	-	WP_101712390.1	WP_101712390.1		division/cell wall cluster transcriptional repressor MraZ			C1707_RS00360	468	155	
gene	RNase_P_RNA	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	65866	66249	-					rnpB		C1707_RS00365	384		old_locus_tag=C1707_00365
ncRNA	RNase_P_RNA	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	65866	66249	-				RNase P RNA component class A	rnpB		C1707_RS00365	384		
gene	pseudogene	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	66287	66446	+							C1707_RS26505	160		pseudo
CDS	without_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	66287	66446	+				hypothetical protein			C1707_RS26505	160		pseudo
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	66410	67015	-							C1707_RS00370	606		old_locus_tag=C1707_00370
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	66410	67015	-	WP_101712389.1	WP_101712389.1		FMN-binding negative transcriptional regulator			C1707_RS00370	606	201	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	67015	67740	-							C1707_RS00375	726		old_locus_tag=C1707_00375
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	67015	67740	-	WP_101712388.1	WP_101712388.1		N-acetylmuramoyl-L-alanine amidase			C1707_RS00375	726	241	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	67737	68630	-							C1707_RS00380	894		old_locus_tag=C1707_00380
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	67737	68630	-	WP_101712387.1	WP_101712387.1		DMT family transporter			C1707_RS00380	894	297	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	68789	70264	+							C1707_RS00385	1476		old_locus_tag=C1707_00385
